journal	count
Frontiers in Psychology	2
Frontiers in Synaptic Neuroscience	2
Frontiers in Systems Neuroscience	2
Gene therapy	2
Genome Integrity	2
Genome Medicine	2
Glycobiology	2
Hepatic Medicine : Evidence and Research	2
Herpesviridae	2
Hormones &amp; Cancer	2
Immunity &amp; ageing : I &amp; A	2
Immunology and cell biology	2
Infectious Agents and Cancer	2
Inflammation Research	2
Intensive Care Medicine	2
International Immunopharmacology	2
International Journal of Breast Cancer	2
International Journal of Cancer. Journal International du Cancer	2
International Journal of Genomics	2
International Journal of Hematology-Oncology and Stem Cell Research	2
International Journal of Nephrology	2
International Journal of Proteomics	2
International Reviews of Immunology	2
Iranian Journal of Pharmaceutical Research : IJPR	2
JNCI Journal of the National Cancer Institute	2
Journal of Angiogenesis Research	2
Journal of Animal Science and Biotechnology	2
Journal of Asthma and Allergy	2
Journal of Biology	2
Journal of Circadian Rhythms	2
Journal of Clinical Immunology	2
Journal of Insect Science	2
Journal of Medical Genetics	2
Journal of Medicinal Chemistry	2
Journal of Menopausal Medicine	2
Journal of Molecular Biology	2
Journal of Muscle Research and Cell Motility	2
Journal of Neuro-Oncology	2
Journal of Neuroendocrinology	2
Journal of Neuroimmune Pharmacology	2
Journal of Ophthalmic &amp; Vision Research	2
Journal of Traditional and Complementary Medicine	2
Journal of Tropical Medicine	2
Medical Gas Research	2
Medical Science Monitor : International Medical Journal of Experimental and Clinical Research	2
Mediterranean Journal of Hematology and Infectious Diseases	2
MicrobiologyOpen	2
Molecular and Cellular Neurosciences	2
Molecular psychiatry	2
Mucosal Immunology	2
Multiple Sclerosis (Houndmills, Basingstoke, England)	2
Nature genetics	2
Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology	2
Nuclear Receptor	2
Nucleus	2
Nutrition Journal	2
Obesity (Silver Spring, Md.)	2
Open biology	2
Pathobiology of Aging &amp; Age Related Diseases	2
Pathogens	2
Pathology Research International	2
Pflugers Archiv 	2
Planta	2
Progress in Neurobiology	2
Prostate Cancer	2
Proteome Science	2
Seminars in Immunopathology	2
Silence	2
Structure(London, England:1993)	2
The Journal of Allergy and Clinical Immunology	2
The Journal of Clinical Endocrinology and Metabolism	2
The Journal of Immunology Author Choice	2
The Journal of Membrane Biology	2
The Journal of Pathology	2
The Journal of Physiology	2
The Plant Journal 	2
The World Allergy Organization Journal	2
Toxicological Research	2
Translational Neurodegeneration	2
Veterinary Research	2
ACS Chemical Biology	1
ACS Chemical Neuroscience	1
Acta Diabetologica	1
Acta Histochemica et Cytochemica	1
Acta Neuropathologica Communications	1
Advanced Biomedical Research	1
Advances in Biological Regulation	1
Advances in bioscience and biotechnology (Print)	1
Advances in Dermatology and Allergology/Postȩpy Dermatologii i Alergologii	1
Aging	1
AIDS Research and Therapy	1
Alcohol Research &amp; Health	1
Alcoholism, Clinical and Experimental Research	1
Alzheimer's Research &amp; Therapy	1
American Journal of Hematology	1
American Journal of Physiology - Cell Physiology	1
American Journal of Physiology - Heart and Circulatory Physiology	1
American Journal of Physiology. Renal Physiology	1
American Journal of Reproductive Immunology	1
American Journal of Transplantation	1
Anatomy Research International	1
Anemia	1
Annals of Biomedical Engineering	1
Annals of Dermatology	1
Annals of Surgical Treatment and Research	1
Annual research &amp; review in biology	1
Anti-Cancer Agents in Medicinal Chemistry	1
AoB Plants	1
Archives of Dermatological Research	1
Arthritis	1
Arthritis &amp; Rheumatology (Hoboken, N.j.)	1
Arthritis and Rheumatism	1
Asian-Australasian Journal of Animal Sciences	1
Autoimmunity	1
Biochemical Society Transactions	1
Biochemistry Insights	1
Bioinformation	1
Biological Procedures Online	1
Biological Research	1
Biological Reviews of the Cambridge Philosophical Society	1
Biology Direct	1
Biology of Mood &amp; Anxiety Disorders	1
Biology of Sex Differences	1
Biomacromolecules	1
Biomarker Research	1
Biomarkers in Cancer	1
BioMedicine	1
Biotechnology Advances	1
Biotechnology Letters	1
Birth Defects Research. Part A, Clinical and Molecular Teratology	1
BMC Anesthesiology	1
BMC Chemical Biology	1
BMC Clinical Pathology	1
BMC Dermatology	1
BMC Endocrine Disorders	1
BMC Evolutionary Biology	1
BMC Musculoskeletal Disorders	1
BMC Ophthalmology	1
BMC Pediatrics	1
BMC Pharmacology &amp; Toxicology	1
BMC Physiology	1
BMJ Open	1
Bone	1
Bone Marrow Research	1
Brain	1
Brain disorders &amp; therapy	1
Brain Tumor Research and Treatment	1
Breast Cancer : Targets and Therapy	1
Briefings in Functional Genomics	1
British Journal of Clinical Pharmacology	1
British Journal of Haematology	1
Cancer Cell	1
Cancer gene therapy	1
Cancer Growth and Metastasis	1
Cardiovascular Psychiatry and Neurology	1
Cell &amp; Chromosome	1
Cell Biology and Toxicology	1
Cell Journal (Yakhteh)	1
Cell Stem Cell	1
Cellular and Molecular Bioengineering	1
Cellular and Molecular Immunology	1
Cerebral Cortex (New York, NY)	1
Chemical Research in Toxicology	1
Chemistry &amp; Biology	1
Chemistry Central Journal	1
Chonnam Medical Journal	1
Cilia	1
Clinical &amp; Experimental Metastasis	1
Clinical and Experimental Reproductive Medicine	1
Clinical and Translational Gastroenterology	1
Clinical Interventions in Aging	1
Clinical Medicine. Oncology	1
Clinical Psychopharmacology and Neuroscience	1
Clinics (Sao Paulo, Brazil)	1
Clinics in Liver Disease	1
CNS Neuroscience &amp; Therapeutics	1
Colombia Médica : CM	1
Communicative &amp; Integrative Biology	1
Comparative and Functional Genomics	1
Comparative Hepatology	1
Computational and Structural Biotechnology Journal	1
Contemporary Oncology	1
Critical Care Research and Practice	1
Current Alzheimer Research	1
Current Drug Targets	1
Current Gerontology and Geriatrics Research	1
Current Nutrition Reports	1
Current Opinion in Cell Biology	1
Current Opinion in Genetics &amp; Development	1
Current Opinion in Lipidology	1
Current Pathobiology Reports	1
Current Rheumatology Reports	1
Current Signal Transduction Therapy	1
Cytokine &amp; Growth Factor Reviews	1
Database: The Journal of Biological Databases and Curation	1
Dermato-endocrinology	1
Dermatology Research and Practice	1
Development &amp; Reproduction	1
Developmental Biology	1
Diagnostic Pathology	1
DNA Repair	1
Drug Target Insights	1
Drugs in R&amp;D	1
EBioMedicine	1
Emerging Microbes &amp; Infections	1
Endocrine	1
Endocrine Connections	1
Endocrinology and Metabolism	1
Environmental and Molecular Mutagenesis	1
Environmental Health	1
Epigenomics	1
European Journal of Applied Physiology	1
European Journal of Haematology	1
European Journal of Pediatrics	1
European Journal of Pharmacology	1
Experimental Brain Research. Experimentelle Hirnforschung. Experimentation Cerebrale	1
Experimental Cell Research	1
Experimental Lung Research	1
Experimental Neurology	1
Fibrogenesis and Tissue Repair	1
Frontiers in Computational Neuroscience	1
Frontiers in Molecular Biosciences	1
Frontiers in Neuroenergetics	1
Future oncology (London, England)	1
Gastric Cancer	1
Gene technology	1
Gene Therapy	1
Genes &amp; Diseases	1
Genes &amp; Nutrition	1
Genes and immunity	1
Genes, Brain, and Behavior	1
Genetics Research International	1
Genomics &amp; Informatics	1
Glia	1
Global Advances in Health and Medicine	1
Global Cardiology Science &amp; Practice	1
Graefe's Archive for Clinical and Experimental Ophthalmology	1
Growth Factors (Chur, Switzerland)	1
Gut Microbes	1
Gut Pathogens	1
Gynecologic Oncology	1
Heart International	1
Hematology Reviews	1
Hippocampus	1
Human Genetics	1
Human Reproduction (Oxford, England)	1
Human Reproduction Update	1
Immune Network : Official Journal of the Korean Society for Immunology and Biological Response Modifiers	1
Immunity &amp; Ageing	1
Immunity, Inflammation and Disease	1
Immunologic Research	1
Immunology	1
Immunology Letters	1
Indian Journal of Endocrinology and Metabolism	1
Infectious Disease Reports	1
Inflammatory Bowel Diseases	1
Integrated blood pressure control	1
International Immunology	1
International Journal of Biomedical Science : IJBS	1
International Journal of Cardiology	1
International Journal of Medical Microbiology	1
International Journal of Nephrology and Renovascular Disease	1
Iranian Journal of Basic Medical Sciences	1
Iranian Journal of Neurology	1
Islets	1
ISRN Allergy	1
ISRN Biochemistry	1
ISRN Dermatology	1
ISRN Endocrinology	1
ISRN Nephrology	1
ISRN Ophthalmology	1
Iubmb Life	1
Journal of Aging Research	1
Journal of Autoimmunity	1
Journal of Bacteriology	1
Journal of biomedical science and engineering	1
Journal of Biophysics	1
Journal of blood medicine	1
Journal of cancer science &amp; therapy	1
Journal of cancer therapy	1
Journal of carcinogenesis &amp; mutagenesis	1
Journal of Cardiovascular Disease Research	1
Journal of Clinical Neurology (Seoul, Korea)	1
Journal of diabetes &amp; metabolism	1
Journal of Drug Delivery	1
Journal of Ethnopharmacology	1
Journal of Exercise Nutrition &amp; Biochemistry	1
Journal of Gastric Cancer	1
Journal of Gastroenterology	1
Journal of genetic syndromes &amp; gene therapy	1
Journal of Genomics	1
Journal of Hematology and Oncology	1
Journal of inflammation research	1
Journal of Intensive Care	1
Journal of leukemia (Los Angeles, Calif.)	1
Journal of Molecular Cell Biology	1
Journal of Molecular Neuroscience	1
Journal of Molecular Recognition	1
Journal of Nanobiotechnology	1
Journal of Negative Results in Biomedicine	1
Journal of Neurogastroenterology and Motility	1
Journal of neuroimmunology	1
Journal of Nutrition and Metabolism	1
Journal of Nutritional &amp; Environmental Medicine	1
Journal of Nutritional Science	1
Journal of Obesity	1
Journal of Occupational Medicine and Toxicology (London, England)	1
Journal of Ocular Biology, Diseases, and Informatics	1
Journal of Oral Microbiology	1
Journal of Parasitology Research	1
Journal of Periodontal &amp; Implant Science	1
Journal of Pharmacopuncture	1
Journal of Preventive Medicine and Public Health	1
Journal of Proteome Research	1
Journal of Radiation Research	1
Journal of Research in Medical Sciences : The Official Journal of Isfahan University of Medical Sciences	1
Journal of Skin Cancer	1
Journal of Stem Cells &amp; Regenerative Medicine	1
Journal of Surgical Oncology	1
Journal of the American Chemical Society	1
Journal of the International Society of Sports Nutrition	1
Journal of Thoracic Oncology	1
Journal of Transplantation	1
Journal of Veterinary Emergency and Critical Care	1
Journal of Veterinary Science	1
Journal of Viral Hepatitis	1
Journal of Virology	1
Korean Diabetes Journal	1
Korean Journal of Anesthesiology	1
Leukemia Research and Treatment	1
Lipids	1
Liver International 	1
mAbs	1
Malaria Journal	1
Matrix Biology	1
Medical Hypothesis, Discovery and Innovation in Ophthalmology	1
Medical Microbiology and Immunology	1
Medical Science Monitor Basic Research	1
Metabolites	1
Microbial biotechnology	1
Microbial Cell Factories	1
Molecular Aspects of Medicine	1
Molecular Autism	1
Molecular biology	1
